,compound,Gap,sentence,source
0,SnS,014,"IV, the phonon dispersion of monolayer GeS possess the largest gap of 2 [E2]014[/E2] THz (Fig. 2(a)), which is much larger than that of monolayer GeSe (0.105 THz), while monolayer [E1]SnS[/E1] and SnSe have no gap.",99_10.1039_c6nr01349j
1,SnSe,014,"IV, the phonon dispersion of monolayer GeS possess the largest gap of 2 [E2]014[/E2] THz (Fig. 2(a)), which is much larger than that of monolayer GeSe (0.105 THz), while monolayer SnS and [E1]SnSe[/E1] have no gap.",99_10.1039_c6nr01349j
2,WS2,(2.00eV),It displays that the [E1]WS2[/E1] only area has no detectable TA signal due to the pump  photon energy (1.60 eV) is well below the bandgap of the WS2 [E2](2.00 eV)[/E2]  Fig. S15.,12_10.1038_s41563-020-0670-3
3,WS2,(2.00eV),It displays that the [E1]WS2[/E1] only area has no detectable TA signal due to the pump  photon energy (1.60 eV) is well below the bandgap of the WS2 [E2](2.00 eV)[/E2]  Fig. S15.,12_10.1038_s41563-020-0670-3
4,In2O3,(2,"Similarly to other transparent semiconducting oxides [E1] In2O3[/E1] is classiﬁed as a wide bandgap [E2](2[/E2] 9 eV) material.1 When doped with tin, In2O3 shows high electrical conductivity.2–4 These properties lend In2O3 to applications in transparent electrodes,5–8 gas sensing,9–11 nanowire technology,12 high-voltage transistors,13–15 Schottky diodes,16,17 and ultra-violet light emitting devices,18–21 for ex- ample.",115_10.1063_5.0052848
5,In2O3,9eV),"Similarly to other transparent semiconducting oxides [E1] In2O3[/E1] is classiﬁed as a wide bandgap (2 [E2]9 eV)[/E2] material.1 When doped with tin, In2O3 shows high electrical conductivity.2–4 These properties lend In2O3 to applications in transparent electrodes,5–8 gas sensing,9–11 nanowire technology,12 high-voltage transistors,13–15 Schottky diodes,16,17 and ultra-violet light emitting devices,18–21 for ex- ample.",115_10.1063_5.0052848
8,In2O3,(2,"Similarly to other transparent semiconducting oxides [E1] In2O3[/E1] is classiﬁed as a wide bandgap [E2](2[/E2] 9 eV) material.1 When doped with tin, In2O3 shows high electrical conductivity.2–4 These properties lend In2O3 to applications in transparent electrodes,5–8 gas sensing,9–11 nanowire technology,12 high-voltage transistors,13–15 Schottky diodes,16,17 and ultra-violet light emitting devices,18–21 for ex- ample.",115_10.1063_5.0052848
9,In2O3,9eV),"Similarly to other transparent semiconducting oxides [E1] In2O3[/E1] is classiﬁed as a wide bandgap (2 [E2]9 eV)[/E2] material.1 When doped with tin, In2O3 shows high electrical conductivity.2–4 These properties lend In2O3 to applications in transparent electrodes,5–8 gas sensing,9–11 nanowire technology,12 high-voltage transistors,13–15 Schottky diodes,16,17 and ultra-violet light emitting devices,18–21 for ex- ample.",115_10.1063_5.0052848
10,In2O3,(2,"Similarly to other transparent semiconducting oxides [E1] In2O3[/E1] is classiﬁed as a wide bandgap [E2](2[/E2] 9 eV) material.1 When doped with tin, In2O3 shows high electrical conductivity.2–4 These properties lend In2O3 to applications in transparent electrodes,5–8 gas sensing,9–11 nanowire technology,12 high-voltage transistors,13–15 Schottky diodes,16,17 and ultra-violet light emitting devices,18–21 for ex- ample.",115_10.1063_5.0052848
11,In2O3,9eV),"Similarly to other transparent semiconducting oxides [E1] In2O3[/E1] is classiﬁed as a wide bandgap (2 [E2]9 eV)[/E2] material.1 When doped with tin, In2O3 shows high electrical conductivity.2–4 These properties lend In2O3 to applications in transparent electrodes,5–8 gas sensing,9–11 nanowire technology,12 high-voltage transistors,13–15 Schottky diodes,16,17 and ultra-violet light emitting devices,18–21 for ex- ample.",115_10.1063_5.0052848
12,Cs2AgSbBr6,2.08eV,"The alloy double perovskites  exhibited a band gap value of [E2]2.08 eV[/E2] at x = 0.9, which is smaller than [E1]Cs2AgSbBr6[/E1] (2.18 eV)49 and Cs2AgBiBr6 (2.25 eV).",123_10.1088_1361-6528_abcf6d
13,Cs2AgSbBr6,(2.25eV),"The alloy double perovskites  exhibited a band gap value of 2.08 eV at x = 0.9, which is smaller than [E1]Cs2AgSbBr6[/E1] (2.18 eV)49 and Cs2AgBiBr6 [E2](2.25 eV)[/E2] ",123_10.1088_1361-6528_abcf6d
14,Cs2AgBiBr6,2.08eV,"The alloy double perovskites  exhibited a band gap value of [E2]2.08 eV[/E2] at x = 0.9, which is smaller than Cs2AgSbBr6 (2.18 eV)49 and [E1]Cs2AgBiBr6[/E1] (2.25 eV).",123_10.1088_1361-6528_abcf6d
15,Cs3Bi2I9,2.03eV,"In addition, 2D Cs3Bi2I6Br3 also shows a reduced band gap  of [E2]2.03 eV[/E2] compared with that of 0D [E1]Cs3Bi2I9[/E1] (2.2 eV), which is related to a transition in crystal  structures [185].",123_10.1088_1361-6528_abcf6d
16,Cs3Bi2I9,(2.2eV),"In addition, 2D Cs3Bi2I6Br3 also shows a reduced band gap  of 2.03 eV compared with that of 0D [E1]Cs3Bi2I9[/E1] [E2](2.2 eV)[/E2]  which is related to a transition in crystal  structures [185].",123_10.1088_1361-6528_abcf6d
17,OS,4,"The calculated binding energy of [E1]OS[/E1] and HBC is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
18,OS,37,"The calculated binding energy of [E1]OS[/E1] and HBC is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
19,OS,27,"The calculated binding energy of [E1]OS[/E1] and HBC is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
20,HBC,4,"The calculated binding energy of OS and [E1]HBC[/E1] is [E2]4[/E2] 37 eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
21,HBC,37,"The calculated binding energy of OS and [E1]HBC[/E1] is 4 [E2]37[/E2] eV whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
22,HBC,27,"The calculated binding energy of OS and [E1]HBC[/E1] is 4.37 eV whereas it is 4 [E2]27[/E2] eV for OSH and HBC to form OSH2 when the Fermi level is set to EV+2.0 eV. Complex formation of OV, OVH, and OVH2 with HBC is favorable by 6.13 eV, 5.88 eV, and 5.47 eV, respectively.",24_10.1103_PhysRevB.94.125202
