original_index,positive_sentences,integrated_sentences,doi
74/191,"As a ﬁrst approach, we assume that decreasing bond lengths increase the band- width, thus a magnetic ground-state becomes less sta- ble as the bonds get shorter.","The latter is plausible, since it is well known that the Fe–As bond length dramatically inﬂuences the mag- netism in iron arsenides26,27. As a ﬁrst approach, we assume that decreasing bond lengths increase the band- width, thus a magnetic ground-state becomes less sta- ble as the bonds get shorter.",154/10.1103/PhysRevB.82.014513
75/191,"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction.","As a ﬁrst approach, we assume that decreasing bond lengths increase the band- width, thus a magnetic ground-state becomes less sta- ble as the bonds get shorter. Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction.",154/10.1103/PhysRevB.82.014513
76/191,We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",154/10.1103/PhysRevB.82.014513
77/191,"5: Band structures of BaFe2As2, BaFe2P2 and Ba0.5Sr0.5Fe2As2.","We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG. 5: Band structures of BaFe2As2, BaFe2P2 and Ba0.5Sr0.5Fe2As2.",154/10.1103/PhysRevB.82.014513
43/138,"The two small peaks in the calculated IR spectrum at 385 cm−1 and 395 cm−1 are not clearly visible in the experimen- tal data, although they could correspond to the small feature at 382 cm−1 to 390 cm−1 in the gap between the prominent double peak and triple peak structures.","The intense peak at 410 cm−1 bracketed by two smaller peaks at 395 cm−1 and 415 cm−1 appears in the simulation between 412 cm−1 and 439 cm−1. The two small peaks in the calculated IR spectrum at 385 cm−1 and 395 cm−1 are not clearly visible in the experimen- tal data, although they could correspond to the small feature at 382 cm−1 to 390 cm−1 in the gap between the prominent double peak and triple peak structures.",48/10.1103/PhysRevLett.89.097202
69/138,This feature is very important from the standpoint of sharp tunneling transitions.,For exam- ple the entirely diagonal 4th order S2(S2 z −S2/3) term accounts for almost all of the barrier enhancement. This feature is very important from the standpoint of sharp tunneling transitions.,48/10.1103/PhysRevLett.89.097202
32/178,Electron excitation calculations are completed using the static Coulomb hole and screened exchange (COH- SEX) approach combined with electron screening eﬀects from the inhomogeneous medium within the Hybertsen- Louie ansatz.,The atomic force is calculated by DFT using the PBE functional [20] with a kinetic energy cutoﬀof 70 Ry. Electron excitation calculations are completed using the static Coulomb hole and screened exchange (COH- SEX) approach combined with electron screening eﬀects from the inhomogeneous medium within the Hybertsen- Louie ansatz.,27/10.1103/PhysRevLett.111.087801
46/178,"Strikingly, current theory accu- rately reproduces the experimental measurement [6], in which the IPs of hydrated hydroxide and hydronium are found to be centered at ∼9.2 eV and ∼20 eV respec- tively.","Much less signal is found in 3a1 region and almost no signal is found in 1b1 region of bulk water. Strikingly, current theory accu- rately reproduces the experimental measurement [6], in which the IPs of hydrated hydroxide and hydronium are found to be centered at ∼9.2 eV and ∼20 eV respec- tively.",27/10.1103/PhysRevLett.111.087801
49/178,"This is because DFT, as a ground state theory, strongly underestimates the opti- cal band gap properties.","In stark contrast, the previous stud- ies based on DFT calculations revealed that the IPs of solvated OH−and H3O+ were located at ∼12 eV and ∼5 eV respectively, which underestimated the experi- mental value over 50% [9]. This is because DFT, as a ground state theory, strongly underestimates the opti- cal band gap properties.",27/10.1103/PhysRevLett.111.087801
16/205,"By contrast, the parallel upper critical ﬁeld (Hc∥) is de- termined by the Chandrasekhar-Clogston limit [20, 21], which is set by comparing the Zeeman energy to the su- perconducting gap.","In a 2D superconductor, for a magnetic ﬁeld applied perpendicular to the superconducting plane, supercon- ductivity is broken when vortices become closely packed. By contrast, the parallel upper critical ﬁeld (Hc∥) is de- termined by the Chandrasekhar-Clogston limit [20, 21], which is set by comparing the Zeeman energy to the su- perconducting gap.",181/10.1103/PhysRevLett.119.237002
