original_index,positive_sentences,integrated_sentences,doi
16/191,"From the latter it seems easy to conceive, that also the so-called ’chemical pressure’ by substituting arsenic for the smaller phosphorus atoms induces superconductivity in LaOFe(As1−xPx)?","The stoichiometric compound undergoes a structural phase transition, associated with antiferro- magnetic ordering (spin-density-wave, SDW) at Ttr = 140 K. Superconductivity emerges during the antiferro- magnetic ordering gets suppressed, which can be achieved by hole- or electron-doping4,16 or by applying external pressure9. From the latter it seems easy to conceive, that also the so-called ’chemical pressure’ by substituting arsenic for the smaller phosphorus atoms induces superconductivity in LaOFe(As1−xPx)?",154/10.1103/PhysRevB.82.014513
74/191,"As a ﬁrst approach, we assume that decreasing bond lengths increase the band- width, thus a magnetic ground-state becomes less sta- ble as the bonds get shorter.","The latter is plausible, since it is well known that the Fe–As bond length dramatically inﬂuences the mag- netism in iron arsenides26,27. As a ﬁrst approach, we assume that decreasing bond lengths increase the band- width, thus a magnetic ground-state becomes less sta- ble as the bonds get shorter.",154/10.1103/PhysRevB.82.014513
75/191,"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction.","As a ﬁrst approach, we assume that decreasing bond lengths increase the band- width, thus a magnetic ground-state becomes less sta- ble as the bonds get shorter. Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction.",154/10.1103/PhysRevB.82.014513
76/191,We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",154/10.1103/PhysRevB.82.014513
77/191,"5: Band structures of BaFe2As2, BaFe2P2 and Ba0.5Sr0.5Fe2As2.","We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG. 5: Band structures of BaFe2As2, BaFe2P2 and Ba0.5Sr0.5Fe2As2.",154/10.1103/PhysRevB.82.014513
37/178,In Fig. 1 we present our theoretical PES spectra of both ion solutions based on quasiparticle density of states (QDOS).,QUANTUM-ESPRESSO code package [21]. In Fig. 1 we present our theoretical PES spectra of both ion solutions based on quasiparticle density of states (QDOS).,27/10.1103/PhysRevLett.111.087801
49/178,"This is because DFT, as a ground state theory, strongly underestimates the opti- cal band gap properties.","In stark contrast, the previous stud- ies based on DFT calculations revealed that the IPs of solvated OH−and H3O+ were located at ∼12 eV and ∼5 eV respectively, which underestimated the experi- mental value over 50% [9]. This is because DFT, as a ground state theory, strongly underestimates the opti- cal band gap properties.",27/10.1103/PhysRevLett.111.087801
16/205,"By contrast, the parallel upper critical ﬁeld (Hc∥) is de- termined by the Chandrasekhar-Clogston limit [20, 21], which is set by comparing the Zeeman energy to the su- perconducting gap.","In a 2D superconductor, for a magnetic ﬁeld applied perpendicular to the superconducting plane, supercon- ductivity is broken when vortices become closely packed. By contrast, the parallel upper critical ﬁeld (Hc∥) is de- termined by the Chandrasekhar-Clogston limit [20, 21], which is set by comparing the Zeeman energy to the su- perconducting gap.",181/10.1103/PhysRevLett.119.237002
45/205,All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface.,"Moreover, the electron density due to the ﬁeld eﬀect increases with Vg in contrast to the observed be- havior in Fig. 1 (c). All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface.",181/10.1103/PhysRevLett.119.237002
83/205,"In general, the LaAlO3/SrTiO3 interface has a com- plicated band structure involving multiple contributions from the titanium d bands [31, 32].","HSO from weak antilocalization [Fig. 3 (c)] shows nonmonotonic behavior similar to εSO inferred from superconductivity [Fig. 3 (b)], and, further- more, they have maximum value at the same gate voltage as Tc. In general, the LaAlO3/SrTiO3 interface has a com- plicated band structure involving multiple contributions from the titanium d bands [31, 32].",181/10.1103/PhysRevLett.119.237002
84/205,"Therefore, the ex- tracted parameters from weak antilocalization do not cor- respond to an individual band; instead an averaged value over all the bands should be considered [33].","In general, the LaAlO3/SrTiO3 interface has a com- plicated band structure involving multiple contributions from the titanium d bands [31, 32]. Therefore, the ex- tracted parameters from weak antilocalization do not cor- respond to an individual band; instead an averaged value over all the bands should be considered [33].",181/10.1103/PhysRevLett.119.237002
98/205,All these ob- servations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.,The inset shows τSO as a function of τ −1 along with the solid line as a guide to the eye. of Tc (and Hc∥) dome lies close to this Vg. All these ob- servations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.,181/10.1103/PhysRevLett.119.237002
100/205,"It is therefore possible that the crys- talline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mix- ing [23, 35].","This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) inter- faces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg. It is therefore possible that the crys- talline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mix- ing [23, 35].",181/10.1103/PhysRevLett.119.237002
101/205,"This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.","It is therefore possible that the crys- talline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mix- ing [23, 35]. This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.",181/10.1103/PhysRevLett.119.237002
153/205,[27] See Supplemental Material for more details about two band model for Hall data and the analysis of weak antilo- calisation.,"[26] J. Biscaras, N. Bergeal, S. Hurand, C. Grossetˆete, A. Ras- togi, R. Budhani, D. LeBoeuf, C. Proust, and J. Lesueur, Phys. Rev. Lett. 108, 247004 (2012). [27] See Supplemental Material for more details about two band model for Hall data and the analysis of weak antilo- calisation.",181/10.1103/PhysRevLett.119.237002
170/205,"As discussed in the manuscript, one of them should be a hole band while the other is a electron band.","TWO-BAND ANALYSIS OF HALL DATA We have analysed the Hall data (Fig. S1) using a simpliﬁed two band model with no interaction eﬀects. As discussed in the manuscript, one of them should be a hole band while the other is a electron band.",181/10.1103/PhysRevLett.119.237002
179/205,The gate dependance of carrier density (a) and mobility (b) for electron and hole band extracted from two band model.,1.0 1.5 2.0 2.5 3.0 -45 -30 -15 0 15 30 0 200 400 600 0 2 4 6 8 10 12 14 -250 -200 -150 -100 -50 0 h (c) (b) n (10 13 cm -2) (a) e nh ne (cm 2V -1s -1) Vg (V) Rxy () H (T) -50 V -40 V -30 V -25 V -20 V -15 V -10 V -5 V 0 V 5 V 10 V 15 V 20 V Two Band Hall FIG. S1. The gate dependance of carrier density (a) and mobility (b) for electron and hole band extracted from two band model.,181/10.1103/PhysRevLett.119.237002
182/205,This can be due to more complicated eﬀects such as splitting of the electron band into two spin states with an avoided band crossing due to spin-orbit interaction.,"However, we see more deviation with increasing ﬁeld. This can be due to more complicated eﬀects such as splitting of the electron band into two spin states with an avoided band crossing due to spin-orbit interaction.",181/10.1103/PhysRevLett.119.237002
183/205,Our simpliﬁed two-band description cannot capture these eﬀects.,This can be due to more complicated eﬀects such as splitting of the electron band into two spin states with an avoided band crossing due to spin-orbit interaction. Our simpliﬁed two-band description cannot capture these eﬀects.,181/10.1103/PhysRevLett.119.237002
184/205,"We want to point out that, in order to perform a more accurate analysis, one needs additional measurements such as Shubnikov-de Haas oscillations, which can accurately determine the carrier density in the mobile band [S1].","Our simpliﬁed two-band description cannot capture these eﬀects. We want to point out that, in order to perform a more accurate analysis, one needs additional measurements such as Shubnikov-de Haas oscillations, which can accurately determine the carrier density in the mobile band [S1].",181/10.1103/PhysRevLett.119.237002
185/205,Despite its simplicity our analysis provides the parameter regimes for the electron and hole bands and the qualitative trend of these parameters.,"We want to point out that, in order to perform a more accurate analysis, one needs additional measurements such as Shubnikov-de Haas oscillations, which can accurately determine the carrier density in the mobile band [S1]. Despite its simplicity our analysis provides the parameter regimes for the electron and hole bands and the qualitative trend of these parameters.",181/10.1103/PhysRevLett.119.237002
6/308,We interpret our ﬁndings in terms of the electronic structure of the alloys.,"Trends in the elastic properties of chemical systems are analyzed using force constants, electronic densi- ties of state and Crystal Overlap Hamilton Populations. We interpret our ﬁndings in terms of the electronic structure of the alloys.",160/10.1103/PhysRevB.89.104103
12/308,"First principles computational methods prove fruitful, owing to their chemical speciﬁcity and absence of ad- justable parameters, as well as the insight they yield into electronic structure.","Empirical methods for predicting stoichiometries with desired properties are therefore necessary. First principles computational methods prove fruitful, owing to their chemical speciﬁcity and absence of ad- justable parameters, as well as the insight they yield into electronic structure.",160/10.1103/PhysRevB.89.104103
60/308,"VASP calculates total ener- gies, forces, elastic moduli, and electronic structure.","B. First principles methods Our ﬁrst principles calculations use the Vienna Ab- Initio Simulation Package (VASP)26,27, a plane wave ab- initio package implementing PAW pseudopotentials28 in the PW9129 generalized gradient approximation to den- sity functional theory (DFT). VASP calculates total ener- gies, forces, elastic moduli, and electronic structure.",160/10.1103/PhysRevB.89.104103
