passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"Atom probe characterisation provided intriguing precipitate characteristics, including clear diﬀerences in chemistry and microstructure, depending on whether the γ′ formed during heating or cooling. Keywords: Superalloys, Neutron diﬀraction, Phase Transformation, Powder Metallurgy, Precipitation 1.","Keywords: Superalloys, Neutron diﬀraction, Phase Transformation, Powder Metallurgy, Precipitation 1.",59/10.1016/j.actamat.2020.09.055,"
Superalloys","
None","
eV",1,0,1
"Introduction Understanding formation reactions and evolution behaviour of ordered second phase precipitates is technologically critical for a compendium of applications; these are most pertinent for multi-component alloys used for structural applications. This is acutely important for nickel-base superalloys, the material of choice for the hottest sections of a gas turbine engines.","This is acutely important for nickel-base superalloys, the material of choice for the hottest sections of a gas turbine engines.",59/10.1016/j.actamat.2020.09.055,"
Nickel-base superalloys","
None","
eV",1,0,1
"This has included binary Ni-Al [9, 10], ternary Ni-Al-Cr [11], Ni-Al-Ti [12] and multicomponent systems [13, 14, 15, 16, 17]. Model systems have low supersaturation, making it possible to suppress γ′ formation, then observe γ′ forming via isother- mal heat treatments.","Model systems have low supersaturation, making it possible to suppress γ′ formation, then observe γ′ forming via isother- mal heat treatments.",59/10.1016/j.actamat.2020.09.055,"
Ni-Al","
None","
eV",1,0,1
"These studies indicate γ′ forms by clas- sical nucleation. However, studying γ′ formation behaviour in multicomponent systems, such as those used in a commercial Preprint submitted to Acta Materialia October 20, 2020 arXiv:2004.01146v2  [cond-mat.mtrl-sci]  17 Oct 2020powder metallurgy (PM) nickel-base superalloy, contain higher concentration of γ′ forming elements, making it impossible to suppress their formation during cooling tests due to the high driving force for γ′ formation [18].","However, studying γ′ formation behaviour in multicomponent systems, such as those used in a commercial Preprint submitted to Acta Materialia October 20, 2020 arXiv:2004.01146v2  [cond-mat.mtrl-sci]  17 Oct 2020powder metallurgy (PM) nickel-base superalloy, contain higher concentration of γ′ forming elements, making it impossible to suppress their formation during cooling tests due to the high driving force for γ′ formation [18].",59/10.1016/j.actamat.2020.09.055,"
Nickel-base superalloy","
None","
None",1,0,0
There is also evidence of a depleted γ′ zone in the γ matrix in regions close to the secondary γ′ inter- face. These observations are near identical to the microstructure observed in fully processed RR1000 subjected to a supersolvus heat treatment followed by a slow cool (1◦C min−1) [37].,These observations are near identical to the microstructure observed in fully processed RR1000 subjected to a supersolvus heat treatment followed by a slow cool (1◦C min−1) [37].,59/10.1016/j.actamat.2020.09.055,"
RR1000","
None","
eV",1,0,1
"P.K. acknowledges ﬁnancial support from the DFG SFB TR 103 through project A4. References References [1] Pollock, T..","References References [1] Pollock, T..",59/10.1016/j.actamat.2020.09.055,"
Silicon","
None","
eV",1,0,1
"Alloy design for aircraft engines. Nature Mater 2016;15:809–815. [2] Reed, R..","Nature Mater 2016;15:809–815. [2] Reed, R..",59/10.1016/j.actamat.2020.09.055,"
None","
None","
None",0,0,0
"J Propul Power 2006;22:361–374. [4] Gessinger, G.H., Bomford, M.J..","[4] Gessinger, G.H., Bomford, M.J..",59/10.1016/j.actamat.2020.09.055,"
None","
None","
eV",0,0,1
"Metals Tech 1977;4:388– 395. [6] Rao, G.A., Satyanarayana, D..","[6] Rao, G.A., Satyanarayana, D..",59/10.1016/j.actamat.2020.09.055,"
None","
None","
None",0,0,0
"[6] Rao, G.A., Satyanarayana, D.. Inﬂuence of HIP processing on microstructure and mechanical properties of superalloy Udimet 720LI.",Inﬂuence of HIP processing on microstructure and mechanical properties of superalloy Udimet 720LI.,59/10.1016/j.actamat.2020.09.055,"
Udimet 720LI","
None","
None",1,0,0
Inﬂuence of HIP processing on microstructure and mechanical properties of superalloy Udimet 720LI. Mater Sci Tech 2011;27:478–486.,Mater Sci Tech 2011;27:478–486.,59/10.1016/j.actamat.2020.09.055,"
Udimet 720LI","
None","
eV",1,0,1
"[7] Bozzolo, N., Soua¨ı, N., Log´e, R.. Evolution of microstructure and twin density during thermomechanical processing in a γ-γ′ nickel-based superalloy. Acta Mater 2012;60:5056 – 5066.",Acta Mater 2012;60:5056 – 5066.,59/10.1016/j.actamat.2020.09.055,"
Nickel-based superalloy","
None","
None",1,0,0
"[8] Wang, X., Huang, Z., Cai, B., Zhou, N., Magdysyuk, O., Gao, Y., et al. Formation mechanism of abnormally large grains in a polycrys- talline nickel-based superalloy during heat treatment processing. Acta Mater 2019;168:287 – 298.",Acta Mater 2019;168:287 – 298.,59/10.1016/j.actamat.2020.09.055,"
Nickel-based superalloy","
None","
eV",1,0,1
Early stages of de- composition within the γ′ phase of a Ni–Al–Ti model alloy. Intermetallics 2012;22:226 – 230.,Intermetallics 2012;22:226 – 230.,59/10.1016/j.actamat.2020.09.055,"
Ni-Al-Ti alloy","
None","
eV",1,0,1
"[15] Singh, A., Nag, S., Chattopadhyay, S., Ren, Y., Tiley, J., Viswanathan, G., et al. Mechanisms related to diﬀerent generations of γ′ precipita- tion during continuous cooling of a nickel base superalloy. Acta Mater 2013;61:280 – 293.",Acta Mater 2013;61:280 – 293.,59/10.1016/j.actamat.2020.09.055,"
Nickel base superalloy","
None","
eV",1,0,1
"[17] Chen, Y., Francis, E., Robson, J., Preuss, M., Haigh, S.. Composi- tional variations for small-scale gamma prime (γ′) precipitates formed at diﬀerent cooling rates in an advanced ni-based superalloy. Acta Mater 2015;85:199 – 206.",Acta Mater 2015;85:199 – 206.,59/10.1016/j.actamat.2020.09.055,"
Ni-based superalloy","
None","
eV",1,0,1
"[18] Babu, S., Miller, M., Vitek, J., David, S.. Characterization of the microstructure evolution in a nickel base superalloy during continuous cooling conditions. Acta Mater 2001;49:4149 – 4160.",Acta Mater 2001;49:4149 – 4160.,59/10.1016/j.actamat.2020.09.055,"
Nickel base superalloy","
None","
eV",1,0,1
"[19] Tan, X., Mangelinck, D., Perrin-Pellegrino, C., Rougier, L., Gandin, C.A., Jacot, A., et al. Spinodal decomposition mechanism of γ′ pre- cipitation in a single crystal Ni-based superalloy. Metall Mater Trans A 2014;45:4725–4730.",Metall Mater Trans A 2014;45:4725–4730.,59/10.1016/j.actamat.2020.09.055,"
Ni-based superalloy","
None","
eV",1,0,1
"J Appl Cryst 2006;39:812–825. [21] Ma, S., Rangaswamy, P., Majumdar, B..","[21] Ma, S., Rangaswamy, P., Majumdar, B..",59/10.1016/j.actamat.2020.09.055,"
None","
None","
None",0,0,0
Microstress evolution during in situ loading of a superalloy containing high volume fraction of γ′ phase. Scripta Mater 2003;48:525 – 530.,Scripta Mater 2003;48:525 – 530.,59/10.1016/j.actamat.2020.09.055,"
Superalloy","
None","
eV",1,0,1
On the generation of microstrains during the plastic deformation of waspaloy. Acta Mater 1999;47:4435– 4448.,Acta Mater 1999;47:4435– 4448.,59/10.1016/j.actamat.2020.09.055,"
Waspaloy","
None","
None",1,0,0
"[23] Coakley, J., Reed, R., Warwick, J., Rahman, K., Dye, D.. Lattice strain evolution during creep in single-crystal superalloys. Acta Mater 2012;60.",Lattice strain evolution during creep in single-crystal superalloys. Acta Mater 2012;60.,59/10.1016/j.actamat.2020.09.055,"
Superalloys","
None","
None",1,0,0
"[24] Collins, D., Crudden, D., Alabort, E., Connolley, T., Reed, R.. Time-resolved synchrotron diﬀractometry of phase transformations in high strength nickel-based superalloys. Acta Mater 2015;94:244 – 256.",Acta Mater 2015;94:244 – 256.,59/10.1016/j.actamat.2020.09.055,"
Nickel-based superalloys","
None","
eV",1,0,1
