passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,154/10.1103/PhysRevB.82.014513,BaFeAs₂₂,0.55,eV,0,1,1
"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,154/10.1103/PhysRevB.82.014513,BaFeP₂₂,0.75,eV,0,1,1
"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,154/10.1103/PhysRevB.82.014513,Baₐ₅Sr₀₅FeAs₂₂,0.57,eV,0,1,1
"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density. The interband branches are gapped and their long wavelength limits are connected with van Hove singularities of the band structure.",The interband branches are gapped and their long wavelength limits are connected with van Hove singularities of the band structure.,142/10.1103/PhysRevB.107.115168,None,None,None,0,0,0
"collected together as ”A”, the 3 low frequency optical phonon branches are collected together as ”O1”, and the 6 optical phonon branches with high frequency are col- lected together as ”O2”. As discussed above, there exists a gap between O1 and O2 for monolayer GeS and GeSe, while the gap disappears for monolayer SnS and SnSe.","As discussed above, there exists a gap between O1 and O2 for monolayer GeS and GeSe, while the gap disappears for monolayer SnS and SnSe.",99/10.1039/c6nr01349j,"None (Note: Materials are mentioned, but no band gap value is given) 

Alternate response with actual material names (since the question asks for material name, not implying a band gap value is present):
 
* Monolayer GeS
* Monolayer GeSe
* Monolayer SnS
* Monolayer SnSe",None,None,0,0,0
"Further, lattice mismatch or rotational misalignment in the semiconducting TMDC  heterostructures leads to the formation of moiré potentials (e.g. nanoscale periodic energy  potentials for excitons), providing a configurable solid-state excitonic analog to ultracold atoms  in optical lattices or photons in photonic crystals10,11. Scanning tunneling microscopy  measurements and density functional theory (DFT) simulations for MoS2-WSe2 10,12,13 have  shown that the bandgap of the heterobilayer vary spatially within the moiré pattern, suggesting  amplitudes of moiré potentials as large as hundreds of meV. More recently, far-field optical  measurements have indicated the existence of moiré excitons in semiconducting TMDC  heterostructures by observations, such as trap exciton emission, flat exciton band, spatially  varying valley polarization, and resonantly hybridized excitons14-19.","Scanning tunneling microscopy  measurements and density functional theory (DFT) simulations for MoS2-WSe2 10,12,13 have  shown that the bandgap of the heterobilayer vary spatially within the moiré pattern, suggesting  amplitudes of moiré potentials as large as hundreds of meV. More recently, far-field optical  measurements have indicated the existence of moiré excitons in semiconducting TMDC  heterostructures by observations, such as trap exciton emission, flat exciton band, spatially  varying valley polarization, and resonantly hybridized excitons14-19.",12/10.1038/s41563-020-0670-3,MoS2-WSe2 (heterobilayer),"None (only ""hundreds"" is mentioned, implying a range rather than a specific value)",meV,1,0,1
"c, Schematic of the type-II band alignment in the WS2- WSe2 heterobilayers displaying interlayer exciton formation. d, PL spectrum of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° at 78 K. The peak at ~1.45 eV corresponds to the interlayer exciton emission.","d, PL spectrum of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° at 78 K. The peak at ~1.45 eV corresponds to the interlayer exciton emission.",12/10.1038/s41563-020-0670-3,"None (Note: Materials WS2 and WSe2 are mentioned, but no band gap is explicitly given for either) 

Alternate response if you'd like to acknowledge the materials present:
WS2, WSe2 (with clarification that neither's band gap is explicitly stated)",None,eV,0,0,1
"PL spectra  are normalized with respect to the peak intensity of the 1L-WS2. e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2.","e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2.",12/10.1038/s41563-020-0670-3,"None 

(Note: Detection energy is mentioned for ""A exciton emission of 1L-WS2"", but not explicitly stated as **band gap**) 

 Corrected as per instruction (since no band gap is mentioned):
None","None 

(Note: Detection energy is mentioned, but not explicitly stated as band gap)","None (implied: eV, but for **detection energy**, not explicitly **band gap**) 

 Corrected as per instruction:
eV",0,0,0
"e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2. f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission.","f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission.",12/10.1038/s41563-020-0670-3,None (Implicit: 1L-WS2),1.95,eV,0,1,1
"e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2. f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission.","f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission.",12/10.1038/s41563-020-0670-3,WS2-WSe2 Heterobilayer,1.45,eV,0,1,1
"The WS2-WSe2 heterobilayers have a type-II band alignment, as shown schematically in  Fig. 1c29,30, resulting in the formation of spatially-indirect interlayer charge-transfer excitons,  with electrons and holes residing in the WS2 and WSe2 layers, respectively. As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16.","As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16.",12/10.1038/s41563-020-0670-3,"None (Note: The text mentions a heterobilayer composite ""WS2-WSe2"", but not a single material for which the band gap is given) 

Alternative answer if you'd like to acknowledge the composite:
WS2-WSe2 (heterobilayer)",None,eV,0,0,1
"As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16. Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.","Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.",12/10.1038/s41563-020-0670-3,Interlayer Excitons (WS2-WSe2),~1.45,eV,0,1,1
"As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16. Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.","Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.",12/10.1038/s41563-020-0670-3,Intralayer A Exciton (WS2),1.95,eV,0,1,1
"As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16. Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.","Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.",12/10.1038/s41563-020-0670-3,,None,None,0,0,0
"Significant PL quench of the WS2 A exciton in the heterostructures  indicates an efficient charge separation (Fig.1e). The PL microscopy image (Fig. 1f) of the  interlayer exciton at 1.45 eV shows that the emission is homogenous over the heterostructure  region, confirming the high quality of the interfacial contact.","The PL microscopy image (Fig. 1f) of the  interlayer exciton at 1.45 eV shows that the emission is homogenous over the heterostructure  region, confirming the high quality of the interfacial contact.",12/10.1038/s41563-020-0670-3,"None 

(Note: WS2 is mentioned, but no **band gap** value is explicitly associated with it; the energy value 1.45 eV is associated with an ""interlayer exciton"" in a heterostructure)","None 

(Note: While an energy value ""1.45 eV"" is mentioned, it's associated with an ""interlayer exciton"", not explicitly stated as a **band gap** value)","None 
(eV is mentioned, but not explicitly as a unit for **band gap**, rather for an ""interlayer exciton"") 

Alternate answer if interpreting broadly: eV",0,0,0
The pump-induced change in the probe reflectance (∆𝑅𝑝𝑢𝑚𝑝−𝑜𝑛−∆𝑅𝑝𝑢𝑚𝑝−𝑜𝑓𝑓) is collected as  function of the pump-probe delay time. The hole dynamics is determined by selectively exciting the WSe2 layer and  probing the WSe2 layer using a probe photon energy of 1.60 eV. The hole population corresponds to the sum of K-K  and K-Q exciton populations.,The hole dynamics is determined by selectively exciting the WSe2 layer and  probing the WSe2 layer using a probe photon energy of 1.60 eV. The hole population corresponds to the sum of K-K  and K-Q exciton populations.,12/10.1038/s41563-020-0670-3,"None (Note: **Band gap** isn't explicitly given, only **probe photon energy** is mentioned for WSe2) 

Alternate answer highlighting the material associated with the given energy value:
WSe2",None,"eV (Note: Though not explicitly mentioned for **band gap**, it's present for **probe photon energy**) 

Corrected answer as per the question's requirement:
None",0,0,0
