passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,154/10.1103/PhysRevB.82.014513,BaFeAs2,0.55,eV,1,1,1
"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,154/10.1103/PhysRevB.82.014513,BaFeP2,0.75,eV,1,1,1
"Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe-dxz,yz bands, which should be strongly ef- fected by the Fe–Pn interaction. We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.",We ﬁnd that the band- Z  Γ X  Energy (eV)   0.0   0.5  -0.5 BaFe As 2 2  0.55 eV  Z  Γ X  BaFe P 2 2  0.75 eV  Z  Γ X  Ba Sr Fe As 0.5 0.5 2 2  0.57 eV  FIG.,154/10.1103/PhysRevB.82.014513,Ba0.5Sr0.5FeAs2,0.57,eV,1,1,1
The pump and probe photon energies are 1.60 and 2.00 eV  respectively. It displays that the WS2 only area has no detectable TA signal due to the pump  photon energy (1.60 eV) is well below the bandgap of the WS2 (2.00 eV). Fig. S15.,It displays that the WS2 only area has no detectable TA signal due to the pump  photon energy (1.60 eV) is well below the bandgap of the WS2 (2.00 eV). Fig. S15.,12/10.1038/s41563-020-0670-3,WS2,200,eV,1,1,1
"The PL feature which is  strongest at Vg = 0 is due to X0 recombination. It has a similar width to, and is at the same position  (1.69 eV) as, the narrow EL peak, which we therefore identify as the X0 emission.","It has a similar width to, and is at the same position  (1.69 eV) as, the narrow EL peak, which we therefore identify as the X0 emission.",90/10.1038/nnano.2014.26,None,169,eV,0,1,1
"This procedure yields single-particle energies of the dot-localized orbitals, denoted as eT, eB, hT and hB in Fig. 6(a). Fig. 6(a) shows that at FSmax the energies of the dot-localized electron and hole orbitals are separated by 10 and 7 meV respectively with a gap of 1.3 eV. Generally, the energy separation between eT and eB and between hT and hB can reﬂect size, composition or shape differences of the two dots.","Fig. 6(a) shows that at FSmax the energies of the dot-localized electron and hole orbitals are separated by 10 and 7 meV respectively with a gap of 1.3 eV. Generally, the energy separation between eT and eB and between hT and hB can reﬂect size, composition or shape differences of the two dots.",149/10.1103/PhysRevB.72.165334,None,1300,eV,0,1,1
"Low Pressures (0-50 GPa) As shown in the previous section, phosphorous has an extremely rich phase diagram of unique complexity; at ambient conditions of pressure and temperature its three most common polymorphs, black-P, red-P and white-P are semiconducting or insulating. While black-P and red-P achieve metalization within a few GPa (estimating the exact value would require calculating corrections to the band-gap beyond DFT), white-P is still insulating at 7 GPa with a band gap of about 1.4 eV. Considering that DFT typically underestimates band gaps in insulators, this implies that white-P cannot be considered a candidate for the superconducting phase, and therefore will not be included in further investigations.","While black-P and red-P achieve metalization within a few GPa (estimating the exact value would require calculating corrections to the band-gap beyond DFT), white-P is still insulating at 7 GPa with a band gap of about 1.4 eV. Considering that DFT typically underestimates band gaps in insulators, this implies that white-P cannot be considered a candidate for the superconducting phase, and therefore will not be included in further investigations.",32/10.1103/PhysRevMaterials.1.024802,white-P,1.4,None,1,0,0
"The black phosphorene (α-P) exhibit puckered structure [3], whereas blue phosphorene (β-P) possess graphene-like honeycomb structure of phosphorous  atoms [4]. Both α- and β-P are semiconductors with band gap ~1eV and ~2eV, respectively [4, 5].","Both α- and β-P are semiconductors with band gap ~1eV and ~2eV, respectively [4, 5].",14/10.1039/C7CP03960C,α-P,1,eV,1,1,1
"The black phosphorene (α-P) exhibit puckered structure [3], whereas blue phosphorene (β-P) possess graphene-like honeycomb structure of phosphorous  atoms [4]. Both α- and β-P are semiconductors with band gap ~1eV and ~2eV, respectively [4, 5].","Both α- and β-P are semiconductors with band gap ~1eV and ~2eV, respectively [4, 5].",14/10.1039/C7CP03960C,β-P,2,None,1,1,0
"Note that binding energy is obtained  as EB = |E - (E1 - E2)|/N, where E is the total  energy of the heterostructure,  E1 and E2 are the energies of the isolated individual layers of the  heterostructures and N is the number of atoms in the heterostructure. 3.1 Electronic Structure   α-P displays a direct band gap of 1.12 eV while β-P has an indirect band gap, 2.05 eV (Table 1).","3.1 Electronic Structure   α-P displays a direct band gap of 1.12 eV while β-P has an indirect band gap, 2.05 eV (Table 1).",14/10.1039/C7CP03960C,α-P,1.12,eV,1,1,1
"Note that binding energy is obtained  as EB = |E - (E1 - E2)|/N, where E is the total  energy of the heterostructure,  E1 and E2 are the energies of the isolated individual layers of the  heterostructures and N is the number of atoms in the heterostructure. 3.1 Electronic Structure   α-P displays a direct band gap of 1.12 eV while β-P has an indirect band gap, 2.05 eV (Table 1).","3.1 Electronic Structure   α-P displays a direct band gap of 1.12 eV while β-P has an indirect band gap, 2.05 eV (Table 1).",14/10.1039/C7CP03960C,β-P,2.05,None,1,1,0
"D. R. Penn, Wave-number-dependent dielectric function of semiconductors, Phys. Rev., 1962,  128, 2093.21      TABLE 1. Lattice parameter (a, b), band gap (Eg), in-plane stiffness, Poisson’s ratio, lateral ( 𝜀𝑆 ∥) and vertical ( 𝜀𝑆 ⊥)  components of static dielectric constant (εs) of the given monolayers and heterostructures.","Lattice parameter (a, b), band gap (Eg), in-plane stiffness, Poisson’s ratio, lateral ( 𝜀𝑆 ∥) and vertical ( 𝜀𝑆 ⊥)  components of static dielectric constant (εs) of the given monolayers and heterostructures.",14/10.1039/C7CP03960C,None,None,eV,0,0,1
