,compound,Gap,sentence,source
4,Cs2AgSbBr6,2.08eV,"The alloy double per- ovskites exhibited a band gap value of [E2]2.08 eV[/E2] at x=0.9, which is smaller than [E1]Cs2AgSbBr6[/E1] (2.18 eV) and Cs2AgBiBr6 (2.25 eV).",123_10.1088_1361-6528_abcf6d
5,Cs2AgSbBr6,(2.18eV),"The alloy double per- ovskites exhibited a band gap value of 2.08 eV at x=0.9, which is smaller than [E1]Cs2AgSbBr6[/E1] [E2](2.18 eV)[/E2] and Cs2AgBiBr6 (2.25 eV).",123_10.1088_1361-6528_abcf6d
6,Cs2AgSbBr6,(2.25eV),"The alloy double per- ovskites exhibited a band gap value of 2.08 eV at x=0.9, which is smaller than [E1]Cs2AgSbBr6[/E1] (2.18 eV) and Cs2AgBiBr6 [E2](2.25 eV)[/E2] ",123_10.1088_1361-6528_abcf6d
7,Cs2AgBiBr6,2.08eV,"The alloy double per- ovskites exhibited a band gap value of [E2]2.08 eV[/E2] at x=0.9, which is smaller than Cs2AgSbBr6 (2.18 eV) and [E1]Cs2AgBiBr6[/E1] (2.25 eV).",123_10.1088_1361-6528_abcf6d
8,Cs2AgBiBr6,(2.18eV),"The alloy double per- ovskites exhibited a band gap value of 2.08 eV at x=0.9, which is smaller than Cs2AgSbBr6 [E2](2.18 eV)[/E2] and [E1]Cs2AgBiBr6[/E1] (2.25 eV).",123_10.1088_1361-6528_abcf6d
9,Cs2AgBiBr6,(2.25eV),"The alloy double per- ovskites exhibited a band gap value of 2.08 eV at x=0.9, which is smaller than Cs2AgSbBr6 (2.18 eV) and [E1]Cs2AgBiBr6[/E1] [E2](2.25 eV)[/E2] ",123_10.1088_1361-6528_abcf6d
10,Cs3Bi2I6Br3,2.03eV,"In addition, 2D [E1]Cs3Bi2I6Br3[/E1] also shows a reduced band gap of [E2]2.03 eV[/E2] compared with that of 0D Cs3Bi2I9 (2.2 eV), which is related to a transition in crystal structures [255].",123_10.1088_1361-6528_abcf6d
11,Cs3Bi2I6Br3,(2.2eV),"In addition, 2D [E1]Cs3Bi2I6Br3[/E1] also shows a reduced band gap of 2.03 eV compared with that of 0D Cs3Bi2I9 [E2](2.2 eV)[/E2]  which is related to a transition in crystal structures [255].",123_10.1088_1361-6528_abcf6d
12,Cs3Bi2I9,2.03eV,"In addition, 2D Cs3Bi2I6Br3 also shows a reduced band gap of [E2]2.03 eV[/E2] compared with that of 0D [E1]Cs3Bi2I9[/E1] (2.2 eV), which is related to a transition in crystal structures [255].",123_10.1088_1361-6528_abcf6d
13,Cs3Bi2I9,(2.2eV),"In addition, 2D Cs3Bi2I6Br3 also shows a reduced band gap of 2.03 eV compared with that of 0D [E1]Cs3Bi2I9[/E1] [E2](2.2 eV)[/E2]  which is related to a transition in crystal structures [255].",123_10.1088_1361-6528_abcf6d
14,Si,1.1eV),"The bottom cell absorber needs to have a lower band gap Eg than the perovskite used in the top cell (Eg of 1.55–1.8 eV usually), and examples include crystalline [E1]Si[/E1] (Eg of [E2]1.1 eV)[/E2] [13, 344], copper indium gallium selenide (CIGS) (Eg of 1.2 eV) [345, 346], PbS colloidal quantum dots (Eg∼ 0.5–1.3 eV) [347, 348] or another lower-bandgap PSC (Eg∼1.25 eV) [349, 350].",123_10.1088_1361-6528_abcf6d
15,Si,1.2eV),"The bottom cell absorber needs to have a lower band gap Eg than the perovskite used in the top cell (Eg of 1.55–1.8 eV usually), and examples include crystalline [E1]Si[/E1] (Eg of 1.1 eV) [13, 344], copper indium gallium selenide (CIGS) (Eg of [E2]1.2 eV)[/E2] [345, 346], PbS colloidal quantum dots (Eg∼ 0.5–1.3 eV) [347, 348] or another lower-bandgap PSC (Eg∼1.25 eV) [349, 350].",123_10.1088_1361-6528_abcf6d
16,(CIGS),1.1eV),"The bottom cell absorber needs to have a lower band gap Eg than the perovskite used in the top cell (Eg of 1.55–1.8 eV usually), and examples include crystalline Si (Eg of [E2]1.1 eV)[/E2] [13, 344], copper indium gallium selenide [E1](CIGS)[/E1] (Eg of 1.2 eV) [345, 346], PbS colloidal quantum dots (Eg∼ 0.5–1.3 eV) [347, 348] or another lower-bandgap PSC (Eg∼1.25 eV) [349, 350].",123_10.1088_1361-6528_abcf6d
17,(CIGS),1.2eV),"The bottom cell absorber needs to have a lower band gap Eg than the perovskite used in the top cell (Eg of 1.55–1.8 eV usually), and examples include crystalline Si (Eg of 1.1 eV) [13, 344], copper indium gallium selenide [E1](CIGS)[/E1] (Eg of [E2]1.2 eV)[/E2] [345, 346], PbS colloidal quantum dots (Eg∼ 0.5–1.3 eV) [347, 348] or another lower-bandgap PSC (Eg∼1.25 eV) [349, 350].",123_10.1088_1361-6528_abcf6d
18,OS,4.37eV,The calculated binding energy of [E1]OS[/E1] and HBC is [E2]4.37 eV[/E2] whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
19,OS,4.27eV,The calculated binding energy of [E1]OS[/E1] and HBC is 4.37 eV whereas it is [E2]4.27 eV[/E2] for OSH and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
20,HBC,4.37eV,The calculated binding energy of OS and [E1]HBC[/E1] is [E2]4.37 eV[/E2] whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
21,HBC,4.27eV,The calculated binding energy of OS and [E1]HBC[/E1] is 4.37 eV whereas it is [E2]4.27 eV[/E2] for OSH and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
22,OSH,4.37eV,The calculated binding energy of OS and HBC is [E2]4.37 eV[/E2] whereas it is 4.27 eV for [E1]OSH[/E1] and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
23,OSH,4.27eV,The calculated binding energy of OS and HBC is 4.37 eV whereas it is [E2]4.27 eV[/E2] for [E1]OSH[/E1] and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
24,HBC,4.37eV,The calculated binding energy of OS and [E1]HBC[/E1] is [E2]4.37 eV[/E2] whereas it is 4.27 eV for OSH and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
25,HBC,4.27eV,The calculated binding energy of OS and [E1]HBC[/E1] is 4.37 eV whereas it is [E2]4.27 eV[/E2] for OSH and HBC to form OSH2 when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
26,OSH2,4.37eV,The calculated binding energy of OS and HBC is [E2]4.37 eV[/E2] whereas it is 4.27 eV for OSH and HBC to form [E1]OSH2[/E1] when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
27,OSH2,4.27eV,The calculated binding energy of OS and HBC is 4.37 eV whereas it is [E2]4.27 eV[/E2] for OSH and HBC to form [E1]OSH2[/E1] when the Fermi level is set to FIG.,24_10.1103_PhysRevB.94.125202
28,Gd,79,"Correspondingly, the band gap is calculated to be [E2]79[/E2] and 30 meV, respectively, for [E1]Gd[/E1] and Eu doped systems, larger than the reported 22 meV for the Cr doped case [39].",163_10.1103_PhysRevB.94.054113
29,Gd,30meV,"Correspondingly, the band gap is calculated to be 79 and [E2]30 meV[/E2]  respectively, for [E1]Gd[/E1] and Eu doped systems, larger than the reported 22 meV for the Cr doped case [39].",163_10.1103_PhysRevB.94.054113
30,Gd,22meV,"Correspondingly, the band gap is calculated to be 79 and 30 meV, respectively, for [E1]Gd[/E1] and Eu doped systems, larger than the reported [E2]22 meV[/E2] for the Cr doped case [39].",163_10.1103_PhysRevB.94.054113
31,Eu,79,"Correspondingly, the band gap is calculated to be [E2]79[/E2] and 30 meV, respectively, for Gd and [E1]Eu[/E1] doped systems, larger than the reported 22 meV for the Cr doped case [39].",163_10.1103_PhysRevB.94.054113
32,Eu,30meV,"Correspondingly, the band gap is calculated to be 79 and [E2]30 meV[/E2]  respectively, for Gd and [E1]Eu[/E1] doped systems, larger than the reported 22 meV for the Cr doped case [39].",163_10.1103_PhysRevB.94.054113
33,Eu,22meV,"Correspondingly, the band gap is calculated to be 79 and 30 meV, respectively, for Gd and [E1]Eu[/E1] doped systems, larger than the reported [E2]22 meV[/E2] for the Cr doped case [39].",163_10.1103_PhysRevB.94.054113
34,Cr,79,"Correspondingly, the band gap is calculated to be [E2]79[/E2] and 30 meV, respectively, for Gd and Eu doped systems, larger than the reported 22 meV for the [E1]Cr[/E1] doped case [39].",163_10.1103_PhysRevB.94.054113
