human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe dxz,yz bands, which should be strongly effected by the Fe-Pn interaction."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Band structures of BaFe2As2, BaFe2P2, and Ba0.5Sr0.5Fe2As2."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

The coefﬁcients xy for an arbitrary conﬁgura- tion of atoms are determined from matrix elements of the spin-orbit-coupling operator sandwiched between all pairs of occupied and unoccupied Kohn-Sham wave functions (squared) and appropriate energy difference denominators."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

The two small peaks in the calculated IR spectrum at 385 and 395 cm1 are not clearly visible in the experimental data, although they could correspond to the small feature at 382 to 390 cm1 in the gap between the prominent double peak and triple peak structures."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

This feature is very important from the standpoint of sharp tunneling transitions."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

A consistent description of the bulk and the boundary of the topological insulator is possible only when there is a time-reversal breaking perturbation at the boundary to gap surface states; a magnetic layer coating of the boundary of small thickness l ≪1 μm should be used to gap surface states."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Strikingly, current theory accurately repro- duces the experimental measurement [6], in which the IPs of hydrated hydroxide and hydronium are found to be centered at 9:2 and 20 eV, respectively."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

This is because DFT, as a ground state theory, strongly underestimates the optical band gap properties."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Clearly, the main feature of the IP in hydrated hydroxide at 9.99 eV should be assigned to the ﬁrst valence electron excitation of the OH monomer."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

These symmetry restrictions result in the absence of electron excitation for hydrated ions in the above energy range."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

We have confirmed this scenario by analyzing the normal state transport data via a simplistic noninteracting two-band model with one hole and one electron band (see Ref."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

In general, the LaAlO3=SrTiO3 interface has a compli- cated band structure involving multiple contributions from the titanium d bands [31,32]."
