human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Figure 5 shows sections of the band structures with the approximate bandwidths of the Fe dxz,yz bands, which should be strongly effected by the Fe-Pn interaction."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Band structures of BaFe2As2, BaFe2P2, and Ba0.5Sr0.5Fe2As2."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

The action term with θ⃗E ⃗H can be integrated over a volume of the topological insulator into a Chern-Simons term at the boundary."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

A consistent description of the bulk and the boundary of the topological insulator is possible only when there is a time-reversal breaking perturbation at the boundary to gap surface states; a magnetic layer coating of the boundary of small thickness l ≪1 μm should be used to gap surface states."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

The energy plot with Chern-Simons parameters a1 = a2 = 0.565 (corresponding to a maximum value L0 = 3.65 nm in Fig. 1) is shown in Fig. 2."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

This is because DFT, as a ground state theory, strongly underestimates the optical band gap properties."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

By contrast, the parallel upper critical field (Hc∥) is determined by the Chandrasekhar-Clogston limit [20,21], which is set by comparing the Zeeman energy to the superconducting gap."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

We have confirmed this scenario by analyzing the normal state transport data via a simplistic noninteracting two-band model with one hole and one electron band (see Ref."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

In general, the LaAlO3=SrTiO3 interface has a compli- cated band structure involving multiple contributions from the titanium d bands [31,32]."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

Therefore, the extracted parameters from weak antilocalization do not correspond to an individual band; instead, an averaged value over all the bands should be considered [33]."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

All these observations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg."
ai,No
human,"Answer only ""Yes"" or ""No"" without any explanation. Based on the following text, is there a value of **band gap** mentioned in it?

It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35]."
ai,No
