passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"Atom probe characterisation  provided intriguing precipitate characteristics, including clear differences in chemistry and microstruc-  ture, depending on whether the γ ′ formed during heating or cooling. © 2020 Acta Materialia Inc.",© 2020 Acta Materialia Inc.,59/10.1016/j.actamat.2020.09.055,"
None","
None","
None",0,0,0
"[6] , thermomechanical processing e.g. [7] and heat treatments e.g. [8] .",[7] and heat treatments e.g. [8] .,59/10.1016/j.actamat.2020.09.055,"
Silicon","
None","
eV",1,0,1
"This has in-  cluded binary Ni-Al [9,10] , ternary Ni-Al-Cr [11] , Ni-Al-Ti [12] and  multicomponent systems [13–17] . Model systems have low super-  saturation, making it possible to suppress γ ′ formation, then ob-  serve γ ′ forming via isothermal heat treatments.","Model systems have low super-  saturation, making it possible to suppress γ ′ formation, then ob-  serve γ ′ forming via isothermal heat treatments.",59/10.1016/j.actamat.2020.09.055,"
Ni-Al","
None","
eV",1,0,1
"The beamline was equipped with  Fig. 1. Diagrammatic experimental setup on ENGIN-X instrument, adapted from  Collins et al. [25] .","Diagrammatic experimental setup on ENGIN-X instrument, adapted from  Collins et al. [25] .",59/10.1016/j.actamat.2020.09.055,"
None","
None","
None",0,0,0
"Numerical integration was conducted  via a simple trapezium rule for each reﬂection across a peak width  of 0.2 ˚A. As the (01 ¯4 ) α and (116) α reﬂections lie in close proximity  to the { 011 } γ ’ and { 012 } γ ’ reﬂections, a contribution of their sig- nals was included in the numerical integration. As it was known  that there was no γ ′ present at t = 0 (see APT results later) and  no separate superlattice reﬂection contribution could be detected,  the intensity associated with the alumina could be subtracted.","As it was known  that there was no γ ′ present at t = 0 (see APT results later) and  no separate superlattice reﬂection contribution could be detected,  the intensity associated with the alumina could be subtracted.",59/10.1016/j.actamat.2020.09.055,"
Alumina","
None","
None",1,0,0
"As the lattice parameters of the γ and γ ′  phases are near identical, their fundamental reﬂections overlap,  necessitating separation of their independent intensity contribu-  tions. The procedure utilised here is developed from prior studies  of nickel-base superalloys [21–25] .D.M.",The procedure utilised here is developed from prior studies  of nickel-base superalloys [21–25] .D.M.,59/10.1016/j.actamat.2020.09.055,"
Nickel-base superalloys","
None","
None",1,0,0
"Similar observations of such compositional sepa-  ration were performed before in a Ni-5.2Al-14.2Cr (at.%) alloy [33] ,  whereas spinodal decomposition based on RDF analysis was shown  recently in binary Fe-Cr alloys [35,36] .D.M. Collins, N. D’Souza, C. Panwisawas et al. / Acta Materialia 200 (2020) 959–970  963  Fig. 5.","Collins, N. D’Souza, C. Panwisawas et al. / Acta Materialia 200 (2020) 959–970  963  Fig. 5.",59/10.1016/j.actamat.2020.09.055,"
Ni-5.2Al-14.2Cr alloy","
None","
eV",1,0,1
Table 3  Summary of γ and γ ′ composition of RR10 0 0 powder after heating at 900 ◦C for  15 min as collected by APT (at.%). at.%  γ γ γ γ γ′  γ′  γ′  γ′ Ni  34.23  32.25  33.50  32.65  62.58  63.17  63.06  62.54 Al  1.49  0.63  1.19  0.91  11.26  11.16  12.78  12.62 Ti  1.13  0.56  0.81  0.54  13.60  13.06  12.09  13.06 Ta  0.00  0.09  0.17  0.00  1.45  1.42  1.41  1.34  Co  26.94  29.12  27.82  27.83  8.34  8.48  8.06  7.91 Cr  33.00  33.83  32.62  34.39  1.47  1.47  1.45  1.36  Mo  3.16  3.52  3.65  3.64  0.82  0.74  0.92  0.90 Hf  0.00  0.00  0.02  0.00  0.41  0.37  0.14  0.26  Fig. 11.,at.%  γ γ γ γ γ′  γ′  γ′  γ′ Ni  34.23  32.25  33.50  32.65  62.58  63.17  63.06  62.54 Al  1.49  0.63  1.19  0.91  11.26  11.16  12.78  12.62 Ti  1.13  0.56  0.81  0.54  13.60  13.06  12.09  13.06 Ta  0.00  0.09  0.17  0.00  1.45  1.42  1.41  1.34  Co  26.94  29.12  27.82  27.83  8.34  8.48  8.06  7.91 Cr  33.00  33.83  32.62  34.39  1.47  1.47  1.45  1.36  Mo  3.16  3.52  3.65  3.64  0.82  0.74  0.92  0.90 Hf  0.00  0.00  0.02  0.00  0.41  0.37  0.14  0.26  Fig. 11.,59/10.1016/j.actamat.2020.09.055,Ni,34.23,-,0,1,1
Table 3  Summary of γ and γ ′ composition of RR10 0 0 powder after heating at 900 ◦C for  15 min as collected by APT (at.%). at.%  γ γ γ γ γ′  γ′  γ′  γ′ Ni  34.23  32.25  33.50  32.65  62.58  63.17  63.06  62.54 Al  1.49  0.63  1.19  0.91  11.26  11.16  12.78  12.62 Ti  1.13  0.56  0.81  0.54  13.60  13.06  12.09  13.06 Ta  0.00  0.09  0.17  0.00  1.45  1.42  1.41  1.34  Co  26.94  29.12  27.82  27.83  8.34  8.48  8.06  7.91 Cr  33.00  33.83  32.62  34.39  1.47  1.47  1.45  1.36  Mo  3.16  3.52  3.65  3.64  0.82  0.74  0.92  0.90 Hf  0.00  0.00  0.02  0.00  0.41  0.37  0.14  0.26  Fig. 11.,at.%  γ γ γ γ γ′  γ′  γ′  γ′ Ni  34.23  32.25  33.50  32.65  62.58  63.17  63.06  62.54 Al  1.49  0.63  1.19  0.91  11.26  11.16  12.78  12.62 Ti  1.13  0.56  0.81  0.54  13.60  13.06  12.09  13.06 Ta  0.00  0.09  0.17  0.00  1.45  1.42  1.41  1.34  Co  26.94  29.12  27.82  27.83  8.34  8.48  8.06  7.91 Cr  33.00  33.83  32.62  34.39  1.47  1.47  1.45  1.36  Mo  3.16  3.52  3.65  3.64  0.82  0.74  0.92  0.90 Hf  0.00  0.00  0.02  0.00  0.41  0.37  0.14  0.26  Fig. 11.,59/10.1016/j.actamat.2020.09.055,Al,1.49,-,0,1,1
Table 3  Summary of γ and γ ′ composition of RR10 0 0 powder after heating at 900 ◦C for  15 min as collected by APT (at.%). at.%  γ γ γ γ γ′  γ′  γ′  γ′ Ni  34.23  32.25  33.50  32.65  62.58  63.17  63.06  62.54 Al  1.49  0.63  1.19  0.91  11.26  11.16  12.78  12.62 Ti  1.13  0.56  0.81  0.54  13.60  13.06  12.09  13.06 Ta  0.00  0.09  0.17  0.00  1.45  1.42  1.41  1.34  Co  26.94  29.12  27.82  27.83  8.34  8.48  8.06  7.91 Cr  33.00  33.83  32.62  34.39  1.47  1.47  1.45  1.36  Mo  3.16  3.52  3.65  3.64  0.82  0.74  0.92  0.90 Hf  0.00  0.00  0.02  0.00  0.41  0.37  0.14  0.26  Fig. 11.,at.%  γ γ γ γ γ′  γ′  γ′  γ′ Ni  34.23  32.25  33.50  32.65  62.58  63.17  63.06  62.54 Al  1.49  0.63  1.19  0.91  11.26  11.16  12.78  12.62 Ti  1.13  0.56  0.81  0.54  13.60  13.06  12.09  13.06 Ta  0.00  0.09  0.17  0.00  1.45  1.42  1.41  1.34  Co  26.94  29.12  27.82  27.83  8.34  8.48  8.06  7.91 Cr  33.00  33.83  32.62  34.39  1.47  1.47  1.45  1.36  Mo  3.16  3.52  3.65  3.64  0.82  0.74  0.92  0.90 Hf  0.00  0.00  0.02  0.00  0.41  0.37  0.14  0.26  Fig. 11.,59/10.1016/j.actamat.2020.09.055,Ti,1.13,-,0,1,1
