passage,sentence,doi,material,value,unit,material_valid,value_valid,unit_valid
"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density. The interband branches are gapped and their long-wavelength limits are connected with Van Hove singularities of the band structure.",The interband branches are gapped and their long-wavelength limits are connected with Van Hove singularities of the band structure.,142/10.1103/PhysRevB.107.115168,None,None,None,0,0,0
"The scaling of plasmon frequency with carrier density n (or Fermi energy) depends on the propaga- tion direction, which crosses over from ∼n0 normal to the nodal line to ∼n along the line. Meanwhile, the two interband branches are gapped and are connected to the Van Hove sin- gularities of the band structure.","Meanwhile, the two interband branches are gapped and are connected to the Van Hove sin- gularities of the band structure.",142/10.1103/PhysRevB.107.115168,None,None,None,0,0,0
Combining the two parts gives the whole model H =  j H j chain + Hinter. (3) It is important to note that adding the interchain coupling does not open a gap in the spectrum.,(3) It is important to note that adding the interchain coupling does not open a gap in the spectrum.,142/10.1103/PhysRevB.107.115168,None,None,None,0,0,0
"However, TTF-TCNQ is a 3D material and its low-energy bands are of conventional quadratic dispersion. These factors result in gapped intraband plasmon branches, conventional frequency scaling behavior, and extended SPE regions, which are distinct from our system.","These factors result in gapped intraband plasmon branches, conventional frequency scaling behavior, and extended SPE regions, which are distinct from our system.",142/10.1103/PhysRevB.107.115168,TTF-TCNQ (Note: Band gap value is not provided for this material in the text),None,None,1,0,0
"The anisotropy is strong for monolayer GeS and weak for monolayer GeSe due to the big gap in the phonon dispersions of monolayer GeS and the small gap of monolayer GeSe. While there is no gap of monolayer SnS and SnSe, their κ and phonon group velocity along the two different directions are almost isotropic.","While there is no gap of monolayer SnS and SnSe, their κ and phonon group velocity along the two different directions are almost isotropic.",99/10.1039/c6nr01349j,"None (Note: The text mentions ""gap"" but not specifically ""band gap"", it refers to gaps in phonon dispersions) 

 Alternative answer if interpreting ""gap"" as potentially related to band gap:
 
* GeS
* GeSe 
(Note: This interpretation is a stretch, as the context strongly suggests ""phonon dispersions gap"")",None,None,0,0,0
"To focus on the scattering between acoustic and optical phonon modes, the LA, TA and FA phonon branches are collected together as ""A"", the 3 low frequency optical phonon branches are collected together as ""O1"", and the 6 optical phonon branches with high frequency are collected together as ""O2"". As discussed above, there exists a gap between O1 and O2 for monolayer GeS and GeSe, while the gap disappears for monolayer SnS and SnSe.","As discussed above, there exists a gap between O1 and O2 for monolayer GeS and GeSe, while the gap disappears for monolayer SnS and SnSe.",99/10.1039/c6nr01349j,"None (Note: Materials are mentioned, but no band gap value is given, hence ""None"" as per your instruction) 

**Alternative answer with clarification**: 
If you'd like to know the materials mentioned in relation to a gap (not specifically band gap value), the answer would be:
GeS, GeSe, SnS, SnSe",None,None,0,0,0
"The WS2–WSe2 heterobilayers have a type II band alignment28,29,  which results in the formation of spatially indirect interlayer exci- tons, with electrons and holes that reside in the WS2 and WSe2 lay- ers, respectively (Fig. 1d). As shown in Fig. 1e, the PL spectra at  78 K display a new emission peak at ~1.45 eV in the WS2–WSe2 het- erobilayers with twist angles of 0 and 60°, which is attributed to the   emission from the interlayer excitons16.","As shown in Fig. 1e, the PL spectra at  78 K display a new emission peak at ~1.45 eV in the WS2–WSe2 het- erobilayers with twist angles of 0 and 60°, which is attributed to the   emission from the interlayer excitons16.",12/10.1038/s41563-020-0670-3,"None (Note: An ""emission peak"" value is given, but not a **band gap**; materials WS2 and WSe2 are mentioned, but no **band gap** is associated with them) 

(Alternative, highlighting the materials present, though not directly related to a **band gap**)
WS2, WSe2 (Heterobilayers)","None (Note: The text mentions an ""emission peak"" value (~1.45), but not explicitly a **band gap** value) 

(If you'd like to follow the original instruction strictly)
1.45","eV (Note: As before, this unit is for the ""emission peak"", not explicitly a **band gap**)

(If you'd like to follow the original instruction strictly)
None",0,0,0
"To verify this prediction, we employed transient absorp- tion microscopy (TAM; more details in Supplementary Note  2 and Supplementary Figs. 5 and 6)30,31 to image the spatial– temporal-dependent exciton population and experimentally extract  the average potential, encountered as excitons migrate. We used a  linearly polarized pump beam at 1.58 eV to create excitons in WSe2  and a probe energy of 1.95 eV was used to track the electron pop- ulation in the K (or K′) valley of WS2 after the formation of the  K–K interlayer excitons (Fig. 3a).",We used a  linearly polarized pump beam at 1.58 eV to create excitons in WSe2  and a probe energy of 1.95 eV was used to track the electron pop- ulation in the K (or K′) valley of WS2 after the formation of the  K–K interlayer excitons (Fig. 3a).,12/10.1038/s41563-020-0670-3,"None (Note: Energies are mentioned, but not explicitly stated as band gaps for WSe2 or WS2) 

 Alternative answer with a different interpretation:
WSe2, WS2 (Note: Assuming the question implies materials with energy values mentioned, even if not explicitly labeled as band gaps)",None,eV,0,0,1
"Navy, yellow and orange spheres represent W, S  and Se atoms respectively. e, PL spectrum of the WS2– WSe2 heterobilayers with twist angles of 0 and 60° at 78 K. The peak at ~1.45 eV corresponds to the  interlayer exciton emission.","e, PL spectrum of the WS2– WSe2 heterobilayers with twist angles of 0 and 60° at 78 K. The peak at ~1.45 eV corresponds to the  interlayer exciton emission.",12/10.1038/s41563-020-0670-3,None,"None 

(Note: While an energy value is mentioned, it's explicitly described as corresponding to ""interlayer exciton emission"", not the band gap itself)","None (implied: eV, but explicitly for ""interlayer exciton emission"", not band gap) 

**Revised to match requested format:**
 None",0,0,0
"The PL spectra are normalized with respect to the peak intensity of the 1L-WS2. f, PL image of the interlayer exciton emission  peak at ~1.45 eV of the 60° heterobilayer taken at 78 K, showing the homogeneous intensity over the heterobilayer.","f, PL image of the interlayer exciton emission  peak at ~1.45 eV of the 60° heterobilayer taken at 78 K, showing the homogeneous intensity over the heterobilayer.",12/10.1038/s41563-020-0670-3,"None (Note: WS2 is mentioned, but the band gap value is associated with the ""60° heterobilayer"", not explicitly WS2) 

Alternate response if interpreted differently:
60° Heterobilayer (with an implicit component being WS2, but not exclusively stated for the band gap)",1.45,eV,0,1,1
