doi,output,status
100/10.1063/1.1566097,"| Material | Value | Unit |
|----------|-------|------|
| GaMnAs | 0.4-0.65 eV | -- |
| GaAs | -- | -- |",1
101/10.1063/1.3176939,"| Material | Value | Unit |
|----------|-------|------|
| MgO | None | None |
| IrMn10 | None | None |
| CoFeB3 | None | None |
| Ru0.95 | None | None |
| CoFe4 | None | None |

",1
102/10.1063/1.3225396,"| Material | Value | Unit |
|----------|-------|------|
| LiAl | None | None |
| None | None | None |",1
103/10.1063/1.3431755,"| Material | Value | Unit |
|----------|-------|------|
| MgSO4·H2O | 7.41 eV | eV |
| Gluconic acid | 5.53 eV | eV |
| None | None | None |",1
104/10.1063/1.4704370,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |

Note: The article does not provide any information about the band gap values of specific materials. Therefore, the only entry in the table is ""None"" for all three columns.",1
105/10.1063/1.4811690,"| Material | Value | Unit |
|----------|-------|------|
| GaAs | 2.2 eV | eV |
| Fe | None | None |",1
106/10.1063/1.4868131,"| Material | Value | Unit |
|----------|-------|------|
| GaN | 3.42 eV | eV |
| InGaN | None | None |",1
107/10.1063/1.4880238,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |

Note: There is no mention of any material or its band gap value in the given context. Therefore, the answer is ""None"" for all columns.",1
108/10.1063/1.4891200,"| Material | Value | Unit |
|----------|-------|------|
| Graphene | None | None |
| Platinum | None | None |",1
109/10.1063/1.4896171,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |

Note: The article does not mention any specific band gap values for the materials discussed. Therefore, the table above has no entries.",1
10/10.1038/nmat3329,"| Material | Value | Unit |
|----------|-------|------|
| LiZn2Mo3O8 | -14 | K |
| Mo3O13H15 | 1.2 | eV |
| Mo3O8 | None | None |",1
110/10.1063/1.4918549,"| Material | Value | Unit |
|----------|-------|------|
| Ge (sputtered) | 0.8 | eV |
| Ge (PECVD) | 0.181 | eV |
| SiO2 | None | None |",1
111/10.1063/1.4967315,"| Material | Value | Unit |
|----------|-------|------|
| ZnSe | 2.5 eV | eV |
| BeSe | 5.5 eV | eV |
| Zn0.47Be0.53Se | None | None |
| Zn0.67Be0.33Se |",1
112/10.1063/1.5063553,"| Material | Value | Unit |
|----------|-------|------|
| Fe3O4 | None | None |
| Pt | None | None |
| MgO | None | None |
| AlN | None | None |

Note: The band gap values are not mentioned in the given context, so the table only lists the materials' names and",1
113/10.1063/1.5099913,"| Material | Value | Unit |
|----------|-------|------|
| Py (platinum) | None | None |
| α-W (tungsten) | 1.2 eV | eV |
| β-W (tungsten) | 0.8 eV | eV |

Note: The band gap values are",1
114/10.1063/5.0044689,"| Material | Value | Unit |
|----------|-------|------|
| Bulk Silicon | 1.1 eV | eV |
| Molecular Crystals | None | None |",1
115/10.1063/5.0052848,"| Material | Value | Unit |
|----------|-------|------|
| In2O3 | 2.81 eV | - |
| In2O3 | 0.208 meV | - |
| In2O3 | 112 cm2 | - |

Note: The band gap values are not explicitly mentioned in the",1
116/10.1063/5.0118797,"| Material | Value | Unit |
|----------|-------|------|
| Silica | -27.04 | eV |
| Silica | -26.93 | eV |
| Silica | -26.86 | eV |
| Silica | -25.77 | eV |
| Silica |",1
117/10.1063/5.0198885,"| Material | Value | Unit |
|----------|-------|------|
| ZnO | 3.182 eV | eV |
| SnO2 | 3.59 eV | eV |

Note: The band gap values are based on the information provided in the context, and the units are specified as eV (electronvol",1
118/10.1063/5.0208103,"| Material | Value | Unit |
|----------|-------|------|
| Boron nitride | 0.17 | Å3 |
| Carbon diamond | 0.18 | Å3 |
| Cubic MAPI | 97.92 | eV |
| Hematite | 93.99 | eV |",1
119/10.1073/pnas.2405839122,"| Material | Value | Unit |
|----------|-------|------|
| α-EuP3 | 6 eV | eV |
| α-EuP3 | None | None |",1
11/10.1038/s41467-021-21203-6,"| Material | Value | Unit |
|----------|-------|------|
| ZnO | 0.4 eV | eV |
| Sr1-xLaxTiO3 | - | - |
| 2DEGs in oxide surfaces | - | - |

Note: The band gap values are not explicitly mentioned in the text,",1
120/10.1088/0953-8984/24/1/015305,"| Material | Value | Unit |
|----------|-------|------|
| Graphene | None | None |
| SiO2 | None | None |",1
121/10.1088/0953-8984/25/33/336003,"| Material | Value | Unit |
|----------|-------|------|
| PbCu3TeO7 | - | eV |
| Zn-herbertsmithite | - | eV |
| Kapellasite | - | eV |
| Haydeeite | - | eV |

Note: The band gap values are",1
122/10.1088/0953-8984/27/49/495602,"| Material | Value | Unit |
|----------|-------|------|
| MnO6 octahedra | None | None |
| COO insulator phase | None | None |
| AFMM phase | None | None |
| PMM phase | None | None |",1
123/10.1088/1361-6528/abcf6d,"| Material | Value | Unit |
|----------|-------|------|
| BiI3 | 1.67-1.8 eV | eV |
| SbI3 | 2.1 eV | eV |
| BiOI | 0.19/0.2 eV | eV |
| BiSI | ",1
124/10.1088/1367-2630/12/6/063014,"| Material | Value | Unit |
|----------|-------|------|
| Gold | 1.2 eV | eV |
| Copper | 0.6 eV | eV |
| PTCDA | None | None |",1
125/10.1088/1674-1056/abb65d,"| Material | Value | Unit |
|----------|-------|------|
| Twisted Bilayer Graphene (TBG) | 10 meV | eV |
| Twisted Bilayer Graphene (TBG) | None | None |",1
126/10.1088/1742-5468/2008/09/P09005,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |

Note: There is no mention of any specific materials or their band gap values in the given context. The context only discusses the fiber-bundle model and the probability of damage phenomena. Therefore, the table above has only one row with all columns empty, indicating that",1
127/10.1088/1742-5468/2009/07/P07020,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
128/10.1088/1742-5468/2016/03/033306,"| Material | Value | Unit |
|----------|-------|------|
| Cement paste | 100 | meV |
| Cement paste | 400 | eV |",1
